command	status	help_flag	bytes	version
g++-12	present	--help	4096	g++-12 (Debian 12.2.0-14+deb12u1) 12.2.0
galculator	absent		0	
galleta	absent		0	
garbageman	absent		0	
gawk	absent		0	
gcc	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
gcc-12	present	--help	4096	gcc-12 (Debian 12.2.0-14+deb12u1) 12.2.0
gcc-ar	present	--help	2205	GNU ar (GNU Binutils for Debian) 2.40
gcc-ar-12	present	--help	2205	GNU ar (GNU Binutils for Debian) 2.40
gcc-nm	present	--help	2911	GNU nm (GNU Binutils for Debian) 2.40
gcc-nm-12	present	--help	2911	GNU nm (GNU Binutils for Debian) 2.40
gcc-ranlib	present	--help	834	GNU ranlib (GNU Binutils for Debian) 2.40
gcc-ranlib-12	present	--help	834	GNU ranlib (GNU Binutils for Debian) 2.40
gcov	present	--help	1993	gcov (Debian 12.2.0-14+deb12u1) 12.2.0
gcov-12	present	--help	1993	gcov (Debian 12.2.0-14+deb12u1) 12.2.0
gcov-dump	present	--help	392	gcov-dump (Debian 12.2.0-14+deb12u1) 12.2.0
gcov-dump-12	present	--help	392	gcov-dump (Debian 12.2.0-14+deb12u1) 12.2.0
gcov-tool	present	--help	1350	gcov-tool (Debian 12.2.0-14+deb12u1) 12.2.0
gcov-tool-12	present	--help	1353	gcov-tool-12 (Debian 12.2.0-14+deb12u1) 12.2.0
gdb	absent		0	
gddrescue	absent		0	
gencat	present	--help	882	gencat (Debian GLIBC 2.36-9+deb12u14) 2.36
genl	present	-h	150	"Option ""--version"" is unknown, try ""genl -help""."
getcap	present	--help	148	version (No such file or directory)
getconf	present	--help	295	getconf (Debian GLIBC 2.36-9+deb12u14) 2.36
getent	present	--help	819	getent (Debian GLIBC 2.36-9+deb12u14) 2.36
getopt	present	--help	903	getopt from util-linux 2.38.1
getpcaps	present	--help	472	Cannot parse pid --version: (Invalid argument)
getty	present	--help	2194	getty from util-linux 2.38.1 (flow control, hints, issue, issue.d, keyboard mode, plymouth, reload, syslog, widechar)
ghex	absent		0	
ghidra	absent		0	
ghidrassistmcp	absent		0	
git	present	--help	2160	git version 2.39.5
git-receive-pack	present	(no args)	163	error: unknown option `version'
git-shell	present		0	
git-upload-archive	present	-help	197	
git-upload-pack	present	-h	366	error: unknown option `version'
gmake	present	--help	2714	GNU Make 4.3
gnome-calculator	absent		0	
gnu-project-debugger	absent		0	
gnu-wget	absent		0	
gold	present	--help	22864	GNU gold (GNU Binutils for Debian 2.40) 1.16
gootloaderautojsdecode.py	absent		0	
goresym	absent		0	
