command	status	help_flag	bytes	version
sqlninja	absent		0	
sqlsus	absent		0	
ssdeep	absent		0	
ssh	absent		0	
sshpass	absent		0	
ssldump	absent		0	
sslh	absent		0	
sslscan	absent		0	
sslsniff	absent		0	
sslsplit	absent		0	
sslyze	absent		0	
ssview	absent		0	
statsprocessor	absent		0	
steghide	absent		0	
stegosuite	absent		0	
stegsnow	absent		0	
stenographer	absent		0	
stpyv8	absent		0	
strace	absent		0	
strdeob.pl	absent		0	
strelka	absent		0	
strings.py	absent		0	
stunnel4	absent		0	
sucrack	absent		0	
suricata	absent		0	
suricatasc	absent		0	
swaks	absent		0	
swig	absent		0	
sysinternals	absent		0	
systeminformer	absent		0	
t50	absent		0	
tcl	absent		0	
tcpdump	absent		0	
tcpflow	absent		0	
tcpick	absent		0	
tcpreplay	absent		0	
tcpslice	absent		0	
tcpstat	absent		0	
tcptrace	absent		0	
tcptrack	absent		0	
tcpxtract	absent		0	
telegraf	absent		0	
termineter	absent		0	
tesseract	absent		0	
tesseract-ocr	absent		0	
testdisk	absent		0	
texteditor.py	absent		0	
thc-ipv6	absent		0	
thc-pptp-bruter	absent		0	
thc-ssl-dos	absent		0	
thefuzz	absent		0	
theharvester	absent		0	
thehive	absent		0	
thug	absent		0	
time-decode	absent		0	
tlssled	absent		0	
tnscmd10g	absent		0	
tofrodos	absent		0	
tor	absent		0	
translate.py	absent		0	
transmission	absent		0	
trid	absent		0	
tridupdate	absent		0	
truecrack	absent		0	
tshark	absent		0	
tsk_gettimes	present	--help	551	The Sleuth Kit ver 4.11.1
tsk_recover	present	--help	920	The Sleuth Kit ver 4.11.1
ttd	absent		0	
twofi	absent		0	
udptunnel	absent		0	
ugrep	absent		0	
uncompyle6	absent		0	
undbx	absent		0	
unfurl	absent		0	
unhide	absent		0	
unicode	absent		0	
unicornscan	absent		0	
uniextract2	absent		0	
uniscan	absent		0	
unity-control-center	absent		0	
unix-privesc-check	absent		0	
unix2dos	absent		0	
unix2mac	absent		0	
unpyc3	absent		0	
unrar	absent		0	
unrar-free	absent		0	
unshadow	absent		0	
unxor	absent		0	
unzip	present	--help	1509	UnZip 6.00 of 20 April 2009, by Debian. Original by Info-ZIP.
upx	absent		0	
urlcrazy	absent		0	
vb-decompiler-lite	absent		0	
vbdec	absent		0	
vbindiff	absent		0	
vcbuildtools	absent		0	
vcredist-all	absent		0	
vdbbin	present	--help	1025	
veil	absent		0	
vinetto	absent		0	
virtuoso-minimal	absent		0	
virustotal-search	absent		0	
virustotal-search.py	absent		0	
virustotal-submit	absent		0	
virustotal-submit.py	absent		0	
visual-studio-code	absent		0	
vivbin	present	--help	1851	
vivisect	absent		0	
voiphopper	absent		0	
volatility-framework	absent		0	
vscode	absent		0	
vscode.extension.jupyter	absent		0	
vscode.extension.python	absent		0	
wafw00f	absent		0	
wapiti	absent		0	
watobo	absent		0	
wazuh	absent		0	
wce	absent		0	
webacoo	absent		0	
webcrack	absent		0	
webscarab	absent		0	
webshells	absent		0	
weevely	absent		0	
wfuzz	absent		0	
wget	present	--help	13243	GNU Wget 1.21.3 built on linux-gnu.
whatweb	absent		0	
wifi-honey	absent		0	
winbind	absent		0	
windbg	absent		0	
windows-terminal	absent		0	
wine	absent		0	
winregfs	absent		0	
wordlists	absent		0	
wpscan	absent		0	
wxhexeditor	absent		0	
x64dbg	absent		0	
x64dbg-automate-mcp	absent		0	
x64dbg.plugin.dbgchild	absent		0	
x64dbg.plugin.ollydumpex	absent		0	
x64dbg.plugin.scyllahide	absent		0	
x64dbg.plugin.x64dbgpy	absent		0	
xdot	absent		0	
xfsprogs	absent		0	
xlmdeobfuscator	absent		0	
xlmmacrodeobfuscator	absent		0	
xmldump.py	absent		0	
xmount	absent		0	
xor-kpa.py	absent		0	
xorbruteforcer.py	absent		0	
xorsearch	absent		0	
xorsearch.py	absent		0	
xorstrings	absent		0	
xortool	absent		0	
xplico	absent		0	
xsser	absent		0	
yara	present	--help	2552	4.2.3
yara-forge-rules	absent		0	
yara-rules	absent		0	
yara-x	absent		0	
yarac	present	--help	613	4.2.3
yersinia	absent		0	
zaproxy	absent		0	
zbarimg	absent		0	
zeek	absent		0	
zeek-cut	absent		0	
zenity	absent		0	
zenmap	absent		0	
zip	absent		0	
zip2john	absent		0	
zipdump.py	absent		0	
